PÉRIODE DE RÉFÉRENCE;GÉO;DGUID;Type de matières récupérées;Sources des matières préparées en vue du recyclage;UNITÉ DE MESURE;IDENTIFICATEUR D'UNITÉ DE MESURE;FACTEUR SCALAIRE;IDENTIFICATEUR SCALAIRE;VECTEUR;COORDONNÉES;VALEUR;STATUS;SYMBOLE;TERMINÉ;DÉCIMALES
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588726;2.18.1;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588727;2.18.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588728;2.18.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315179;2.15.1;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315180;2.15.2;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Autres matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315181;2.15.3;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315182;3.1.1;56795;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315183;3.1.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315184;3.1.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les fibres de papier;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315185;3.2.1;12214;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les fibres de papier;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315186;3.2.2;4641;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les fibres de papier;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315187;3.2.3;7573;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Verre;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315188;3.3.1;268;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Verre;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315189;3.3.2;102;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Verre;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315190;3.3.3;166;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux ferreux;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315191;3.4.1;9363;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux ferreux;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315192;3.4.2;3558;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux ferreux;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315193;3.4.3;5805;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Cuivre et aluminium;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315194;3.5.1;1625;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Cuivre et aluminium;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315195;3.5.2;674;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Cuivre et aluminium;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315196;3.5.3;951;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux mélangés;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315197;3.6.1;2004;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux mélangés;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315198;3.6.2;762;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Métaux mélangés;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315199;3.6.3;1242;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Électroménagers;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315200;3.7.1;6790;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Électroménagers;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315201;3.7.2;2580;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Électroménagers;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315202;3.7.3;4210;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matériel électronique;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315203;3.8.1;458;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matériel électronique;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315204;3.8.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matériel électronique;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315205;3.8.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matières plastiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315206;3.9.1;939;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matières plastiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315207;3.9.2;357;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Matières plastiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315208;3.9.3;582;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Récipients triangulaires et aseptiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315209;3.10.1;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Récipients triangulaires et aseptiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315210;3.10.2;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Récipients triangulaires et aseptiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315211;3.10.3;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Textiles;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315212;3.11.1;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Textiles;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315213;3.11.2;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Textiles;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315214;3.11.3;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Pneus;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315215;3.12.1;2354;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Pneus;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315216;3.12.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Pneus;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315217;3.12.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets provenant de la construction, de la rénovation et de la démolition;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315218;3.13.1;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315219;3.13.2;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315220;3.13.3;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315221;3.14.1;20445;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315222;3.14.2;16116;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Toutes les matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315223;3.14.3;4329;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets de nourriture et matières organiques séparées à la source;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588729;3.16.1;18585;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets de nourriture et matières organiques séparées à la source;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588730;3.16.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Déchets de nourriture et matières organiques séparées à la source;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588731;3.16.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Feuilles et résidus de jardin;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588732;3.17.1;1860;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Feuilles et résidus de jardin;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588733;3.17.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Feuilles et résidus de jardin;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588734;3.17.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Autres matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588735;3.18.1;0;;;;0
2018;Île-du-Prince-Édouard;2021A000211;Autres matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588736;3.18.2;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Autres matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588737;3.18.3;;..;;;0
2018;Île-du-Prince-Édouard;2021A000211;Autres matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315224;3.15.1;335;;;;0
