Région administrative,Nom d'entreprise,Type d'installation,Conditions d'acceptation,Reconnaissance valide jusqu'au ,Tonnage traité,Agrégats,Bardeaux,Bois - Recyclage,Bois - Valorisation,Bois traité,Carton,Gypse*,Métaux,Mélange combustible,Plastique,Plastique PVC,Verre,Taux de recyclage et de valorisation énergétique,Taux incluant les matières utilisées dans les lieux d'élimination,Taux de rejets,Adresse ,Municipalité ,Code Postal ,Téléphone ,Site Web
14 Lanaudière,Entreprises Pavco,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"180, rue Armand-Majeau",Saint-Roch-de-l'Achigan,J0K 1H0,514 322-6844,
14 Lanaudière,Recyclage Frédérick Morin,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1752, rue Saint-Cléophas",Saint-Gabriel-de-Brandon,J0K 2N0,450 835-1444,
15 Laurentides,Émile Foucault Excavation,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,Oui,,,,Oui,,Oui,,,,,,,,"21, ch. de l'Écocentre",Grenville,J0V 1J0,819 242-8181,
15 Laurentides,Entreprises P. Roy,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1177, route 329",Sainte-Agathe-des-Monts,J8C 2Z2,819 323-4334,
15 Laurentides,GFL-Matrec - Mont-Tremblant,Centre de tri CRD,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"175, route 117",Mont-Tremblant,J8E 1A1,819 425-8867,
15 Laurentides,Service de Recyclage Sterling ,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"6000, route 158",Mirabel,J7N 2Z8,450 258-2000,
16 Montérégie,Martial Excavation,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"5431, rue Jonergin",Saint-Hubert,J3Y 2S1,450 625-9191,
16 Montérégie,Solutions Environnementales 360,Centre de tri CRD,N.D.,S.O.,N.D.,Oui,,,Oui,,Oui,,Oui,,,,,,,,"222, boul. Industriel",Châteauguay,J6J 4Z2,450 699-6862,
17 Centre-du-Québec,Transport Francis Blanchard inc.,Centre de tri CRD,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"245, rue des Charpentiers",Saint-Germain-de-Grantham,J0C 1K0,819 470-9249,
02 Saguenay-Lac-Saint-Jean,Centrem,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"1300, rue des Sociétaires",Saguenay,G7J 0K5,418 698-2222,groupedemexcentrem.com
02 Saguenay-Lac-Saint-Jean,GFL-Matrec - Saguenay,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"3199, boul. Talbot",Saguenay,G7H 5B1,,
03 Capitale-Nationale,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"999, boul. Montmorency",Québec,G1J 3W1,418 649-1000,aim-ecocentre.com
03 Capitale-Nationale,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"400, rue des Entrepreneurs",Québec,G1M 1B3,418 683-1793,aim-ecocentre.com
04 Mauricie,J.Y. Martel,Transbordement,N.D.,S.O.,N.D.,,Oui,Oui,,,Oui,,Oui,,,,,,,,"1295, av de la Fonderie",Shawinigan,G9N 1W9,819 539-9209,
05 Estrie,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"8191, route 214",Frontenac,G6B 2S1,819 583-3831,aim-ecocentre.com
05 Estrie,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"2735, boul. Queen-Victoria",Sherbrooke,J1J 4N8,819 563-8012,aim-ecocentre.com
07 Outaouais,GFL-Matrec - Gatineau,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"418, rue Saint-Louis",Gatineau,J9P 3B3,819 663-3399,
09 Côte-Nord,Entreprises Laurien Jean,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1851, rue Vincent",Baie-Comeau,G5C 1C2,418 589-9009,
12 Chaudière-Appalaches,AIM Éco-Centre **,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"3459, rue de Vulcain",Lévis,G6W 7X6,418 832-7621,aim-ecocentre.com
13 Laval,GFL-Matrec - Laval,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"4315, boul. Saint-Elzéar Ouest",Laval,H7P 4J3,514 895-8242,
15 Laurentides,Service de Recyclage Sterling ,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"805, boul. Arthur-Sauvé",Saint-Eustache,J7R 4K3,450 983-4162,
16 Montérégie,Fibres J.C.,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"3718, ch. de la Grande Ligne",Chambly,J3L 4A7,450 359-4545,
16 Montérégie,Solutions Environnementales 360,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"3200, boul. Industriel",Chambly,J3L 4X3,450 658-9990,
17 Centre-du-Québec,Centre de tri Warwick,Transbordement,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"5, rang Moreau",Warwick,J0A 1M0,819 358-7400,
17 Centre-du-Québec,Enfoui-Bec,Transbordement,Pêle-mêle,S.O.,N.D.,,,,,,,,,,,,,,,,"100, rue Carrignan",Princeville,G6L 4M4,819 522-2443,enfouibec.com
02 Saguenay-Lac-Saint-Jean,E.J. Turcotte,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"2030, rue Drake",Saguenay,G7S 4K8,418 548-3147,
02 Saguenay-Lac-Saint-Jean,Mini-Excavation M.T.,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"1700, av. de la Technologie",Alma,G9C 0E1,418 480-4949,
04 Mauricie,Conteneurs Économiques,Non-spécifié,N.D.,S.O.,N.D.,,,,,,,,,,,,,,,,"8505, boul. Parent",Trois-Rivières,G9A 5E1,819 696-2306,
