periode,geo,type_matiere,producteur,volume_tonnes
2022,Terre-Neuve-et-Labrador,Verre,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Toutes les sources des matières récupérées,534.0
2020,Terre-Neuve-et-Labrador,Métaux ferreux,Toutes les sources des matières récupérées,422.0
2022,Terre-Neuve-et-Labrador,Métaux ferreux,Toutes les sources des matières récupérées,597.0
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,106.0
2020,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,270.0
2022,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,308.0
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,1262.0
2020,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,1262.0
2020,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,796.0
2020,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,632.0
2022,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,649.0
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,1108.0
2020,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,1283.0
2022,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,1604.0
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,987.0
2020,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,1100.0
2022,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,1418.0
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,121.0
2020,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,183.0
2022,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,186.0
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,543.0
2020,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,634.0
2022,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,724.0
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,457.0
2020,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,555.0
2022,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,86.0
2020,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,80.0
2022,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,0.0
2022,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,0.0
2022,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,0.0
2022,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,5929.0
2020,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,6703.0
